metodo,SRS_promedio,SRS_peor,SRS_desv,semanas_criticas_prom,fallos_totales,factibilidad_prom,robustez_score
QUBO+SA reoptimizado,-0.1628690371621106,-0.21745888050786627,0.02734761705095891,23.857142857142858,0,1.0,-0.45603030907929487
QUBO+SA nominal,-0.16341079116938667,-0.21937520898635354,0.028021162126304105,23.857142857142858,0,1.0,-0.4579466375577821
Regla umbral,-0.16751023190449463,-0.21970783049736536,0.026749118889919158,22.857142857142858,1,0.8571428571428571,-0.468279259068794
Historico,-0.17600412788527947,-0.23956409616874272,0.0311377792853212,24.857142857142858,0,1.0,-0.4881355247401713
